,sms_message,label
4244,Okie...,0
4990,So your telling me I coulda been your real Valentine and I wasn't? U never pick me for NOTHING!!,0
4594,It's ok i wun b angry. Msg u aft i come home tonight.,0
3291,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,0
4318,HIYA STU WOT U UP 2.IM IN SO MUCH TRUBLE AT HOME AT MOMENT EVONE HATES ME EVEN U! WOT THE HELL AV I DONE NOW? Y WONT U JUST TELL ME TEXT BCK PLEASE LUV DAN ,0
5090,"St andre, virgil's cream",0
4471,"Lemme know when I can swing by and pick up, I'm free basically any time after 1 all this semester",0
2682,I'm on da bus going home...,0
4899,Oh for fuck's sake she's in like tallahassee,0
3151,Yo! Howz u? girls never rang after india. L,0
3127,U coming 2 pick me?,0
2308,WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,1
4323,Sorry . I will be able to get to you. See you in the morning.,0
2569,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..,0
1371,Hope you are feeling great. Pls fill me in. Abiola,0
3825,I miss you so much I'm so desparate I have recorded the message you left for me the other day and listen to it just to hear the sound of your voice. I love you,0
2179,"I don,t think so. You don't need to be going out that late on a school night. ESPECIALLY when the one class you have is the one you missed last wednesday and probably failed a test in on friday",0
1881,Just seeing your missed call my dear brother. Do have a gr8 day.,0
1991,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,0
3780,"Claim a 200 shopping spree, just call 08717895698 now! Have you won! MobStoreQuiz10ppm",1
1259,Honey boo I'm missing u.,0
4188,Dear got bus directly to calicut,0
2981,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,0
4140,"Ever green quote ever told by Jerry in cartoon ""A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt",0
2388,Also where's the piece,0
5307,What you did in  leave.,0
1721,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",0
2447,"Sorry, I'll call later",0
