,comment,label
6848,"loool..... im a total beginner when it comes to gym so, um do you think its weird to not use any equipment and just do these workouts at a gym??? do i need a yoga mat when im doing these at the gym??",0
9588,Yea the rain because some mfs are stealing rain according to the Jesus club,0
1286,Text 👆👆now,1
6209,"1 thing I wanna ask that can we blend the biscuits as a whole, not separating the cream?",0
2152,"i'm glad I got into crypto when I did because it’s been a turning point for me financially,been my best decision so far",1
7891,Oh no …his parents are a ******ing nightmar,0
1111,Tradewithdulahi fx,1
4430,For more information 👆👆🤝,1
3922,"👆👆👆 
 Through his assistance I got my profits spendable..",1
11361,"The Spy Chief may prove to be a valuable scapegoat for Putin, who can claim that bad intel from the chief was what triggered his attack, because he feared nuclear weapons were being stationed in Ukraine. If he orders a retreat, Putin&#39;s staff will take the heat.",0
5577,I made this cake .It&#39;s super delicious and really easy recipe.😍😍😍,0
1319,"Your act of kindness and service has shown me
 that you're good and highly honored person I
 never
 knew there were still good people out there!
 Thanks for the successfully recovery",1
11426,&quot;POTTY PUTIN IS RAVING MAD...,0
6984,good luck! you got this 💗,0
7043,Try doing her just uploaded full body workout. It&#39;s so easy but hard at the same time. I was literally feeling fat burn!!,0
5828,Can I use cookies,0
7555,Day 1: it burnt bad cuz i&#39;m unfit but managed to do every exercise,0
3238,investment platform,1
7383,Im doing this till school starts <b>September 8th</b> <br><br>Day 1✅tbh this wasnt even that hard i did have to take a break between the russians twist and my legs hurt more than my stomach but yea<br>Day 2<br><br>Day 3<br><br>Day 4<br><br>Day 5<br><br>Day 6<br><br>Day 7<br><br>Day 8<br><br>Day 9<br><br>Day 10<br><br>Day 11<br><br>Day 12<br><br>Day 13<br><br>Day 14(final day)<br><br>Day 15( SCHOOL DAY,0
723,SubScribe me pls EMİNEM FANS,1
10,Once you have started reading do not stop. If you do not subscribe to me  within one day you and you're entire family will die so if you want to stay  alive subscribe right now.﻿,1
10148,So the moral of this tournament shall be: BASKETBALL IS A TEAM-GAME🏀,0
5136,"T.h.a.n.k.s f.o.r w.a.t.c.h.i.n.g
 F..o.r c.r.y.p.t.O g.u.I.d.a.n.c.e.
 +1...-8...-0...-3...-5...-6...-6...-0...-6...-9...-7.
 W?A?T?S?A?P?##*+",1
10404,That was a good match. Unlike France Poland haha 😄,0
5183,"Stocks are crashing, Bitcoin investment right now. will be at wise individual list in a month you will be ecstatic with the decision to make today.",1
2587,🔴 You can also support if you want by delegating to my Cardano Stake Pool [INDYS] 🔴,1
10306,"@ElCarlistaMurciano Hehe how you know that? Unbelievable..In past,Treaty of Ankara 1921 Franklain Bouillon-Kemal Ataturk .But also &quot;ally&quot; Spain, SELL warships(aircraft carriers) to Turkey,and Spanish banks expose in turkish economy 40-50 billiard euros..Sanchez politic, carrier Erdogan politics ..this is business..",0
8709,His white girl voice is so real!,0
5923,@Naji Tj thank u!!! Oooo. I will now make it tomorrow❤️,0
9832,"people in the UK, remember when this came out in &#39;07??? the wettest summer in the UK on record was all blamed on the untimely release of this song.",0
3704,24,1
9711,Tom Holland does it better 😂♥,0
271,hi beaties! i made a new channel please go check it out and subscribe and  enjoy!﻿,1
666,Share Eminem&#39;s Artist of the Year video so he can win. We could see a performance and acceptance speech. Like this comment so everyone can see.  2014 =  Year of Eminem,1
975,CHECK OUT partyman318 FR GOOD TUNEZ!! :D,1
10352,"@Luis Domingo yeah because Rubio would have scored 30 on us, LOL. Ricky is a good player but he is injured and spain is still a national team, not Real Madrid who simply buy a new player for the position they need a replacement for. that naturalization rule was meant for players who actually have a connection to the country to have it easier to be able to play for their chosen nation, not to just buy the best available mercenary when you fear that your own team might suck at the big stage. this is exactly what the spanish association said about making Lorenzo Brown a spanish national. they signed him so that the performance of the national team would not suffer, I am not making this up. If you find this okay, then you are just as desperate as the guys who took advantage of this rule loophole.",0
9036,"Although 12 years have passed since the song, Rihanna is listening with her beautiful voice like the first day and this song has no last rest date.🔥😍😘💐",0
7094,@anna heart  okay I’ll be waiting for An update don’t let me down 😊,0
1493,@Jenny Gold Tell her I referred you 👆,1
2070,How do one get in touch with your manager? I have be making lots of losses trading on my own,1
9872,Good riddance Germany,0
8593,"<a href=""https://www.youtube.com/watch?v=cLnFSqpyQDg&amp;t=33m33s"">33:33</a> well this is telling",0
5098,"Make upto $500,000 in BTC through investing
 I am not a fan of blowing my own trumpet but I assure you in a safe hand to make a huge??????.",1
5918,"<a href=""https://www.youtube.com/watch?v=sdFCd4DgjDM&amp;t=2m36s"">2:36</a> you know he ate the rest",0
5619,It&#39;s time to make use of my whole entire snack box of oreos. Yes,0
2675,lol absolutely and i think you might be trading with Dwayne Clooney. I Lost so much trying to increase my portfolio trading myself with little or no trading experience until i met with Dwayne Clooney who's a professional. I recommend him for anyone who's interested in earning and make great income.,1
269,j aiiima plzzz  https://www.facebook.com/pages/%C3%89c%C3%B8l%CE%B5-al-ma%CE%B7b%CE%B5t/302703146601369 ﻿,1
1418,I believe in on *Scamdumps* telegram always because I have deal with him and no red cap I bet him go get your cc from him not like the other craps.,1
1132,"They are everywhere……
 ReAlSoUrCeInVeStMeNtDoToRg TO THE WORLD",1
4202,7,1
820,subscribe to my channel who can,1
261,Free itunes $25 giftcard codes: http://shhort.com/a?r=OOCnjqU2b﻿,1
